,rank,level_0,level_1,high Depression,low Depression
0,1.0,Mood_anxious,MEAN,6.870,5.556
1,,Score 1-14,CORR,0.4182370517753002,0.4182370517753002
2,,,STD,1.650,2.153
3,,,CI95,6.140 - 7.599,4.817 - 6.294
4,2.0,Breath_consistency,MEAN,0.359,0.324
5,,1-(std/mean),CORR,0.1683407514639378,0.1683407514639378
6,,,STD,0.128,0.142
7,,,CI95,nan - nan,0.275 - 0.373
8,3.0,Gratitude,MEAN,4.833,5.333
9,,Score 1-7,CORR,-0.2968323520039966,-0.2968323520039966
10,,,STD,0.687,0.471
11,,,CI95,nan - nan,nan - nan
12,4.0,Diet_satisfaction,MEAN,3.304,3.861
13,,Score 1-5,CORR,-0.2477848104232003,-0.2477848104232003
14,,,STD,1.516,1.437
15,,,CI95,2.634 - 3.975,3.368 - 4.354
16,5.0,past_day_fats,MEAN,1.348,1.694
17,,portions,CORR,0.1301445998065272,0.1301445998065272
18,,,STD,1.202,1.578
19,,,CI95,0.816 - 1.879,1.153 - 2.236
20,6.0,past_day_exercise_strenuous,MEAN,0.293,0.542
21,,Hrs,CORR,-0.2360569433019898,-0.2360569433019898
22,,,STD,0.560,0.671
23,,,CI95,0.046 - 0.541,0.312 - 0.772
24,7.0,Connect_satisfaction,MEAN,4.174,4.500
25,,Score 1-5,CORR,-0.2045374311129028,-0.2045374311129028
26,,,STD,1.007,1.041
27,,,CI95,3.729 - 4.619,4.143 - 4.857
28,8.0,Sleep_bedtime,MEAN,21:00,21:02
29,,24 Hr scale,CORR,-0.2451403650269443,-0.2451403650269443
30,,,STD,00:47,00:23
31,,,CI95,20:39 - 21:21,20:54 - 21:10
32,9.0,past_day_exercise_moderate,MEAN,0.087,0.306
33,,Hrs,CORR,-0.3224247526634753,-0.3224247526634753
34,,,STD,0.282,0.483
35,,,CI95,-0.038 - 0.212,0.140 - 0.471
36,10.0,past_day_caffeine,MEAN,2.565,2.806
37,,cups,CORR,-0.1639812703575631,-0.1639812703575631
38,,,STD,1.173,1.126
39,,,CI95,2.047 - 3.084,2.419 - 3.192
