,rank,level_0,level_1,high Depression,low Depression
0,1.0,time_of_day,MEAN,2.469,2.552
1,,"1-4 [<10,10-14,14-18,18]",CORR,-0.0689282729479361,-0.0689282729479361
2,,,STD,1.145,1.132
3,,,CI95,2.049 - 2.888,2.113 - 2.990
4,2.0,Breath_response,MEAN,4060.777,3575.212
5,,mS,CORR,0.3306900533338547,0.3306900533338547
6,,,STD,969.771,461.498
7,,,CI95,nan - nan,3396.560 - 3753.864
8,3.0,Connect_chattime,MEAN,0.180,0.224
9,,Hrs,CORR,-0.014919067882991,-0.014919067882991
10,,,STD,0.332,0.442
11,,,CI95,0.058 - 0.301,0.053 - 0.395
12,4.0,past_day_exercise_mild,MEAN,0.195,0.198
13,,Hrs,CORR,0.0655925562642117,0.0655925562642117
14,,,STD,0.271,0.249
15,,,CI95,0.096 - 0.294,0.102 - 0.295
16,5.0,Connect_chatpeople,MEAN,0.406,0.655
17,,# people,CORR,-0.0230077448802962,-0.0230077448802962
18,,,STD,0.744,1.515
19,,,CI95,0.134 - 0.679,0.069 - 1.242
20,6.0,Diet_satisfaction,MEAN,2.562,2.862
21,,Score 1-5,CORR,-0.2455999767383914,-0.2455999767383914
22,,,STD,0.556,0.571
23,,,CI95,2.359 - 2.766,2.641 - 3.083
24,7.0,Sleep_satisfaction,MEAN,2.750,2.793
25,,Score 1-5,CORR,-0.1218911212272386,-0.1218911212272386
26,,,STD,0.901,0.886
27,,,CI95,2.420 - 3.080,2.450 - 3.136
28,8.0,Exercise_satisfaction,MEAN,2.156,2.552
29,,Score 1-5,CORR,-0.2010690755785265,-0.2010690755785265
30,,,STD,1.034,1.037
31,,,CI95,1.777 - 2.535,2.150 - 2.953
32,9.0,Sleep_percent,MEAN,75.781,79.828
33,,% of time asleep in bed,CORR,0.1016150737961128,0.1016150737961128
34,,,STD,16.351,5.943
35,,,CI95,69.792 - 81.771,77.527 - 82.128
36,10.0,Mood_anxious,MEAN,6.812,4.034
37,,Score 1-14,CORR,0.5746065742547847,0.5746065742547847
38,,,STD,2.567,1.542
39,,,CI95,5.872 - 7.753,3.438 - 4.631
