,rank,level_0,level_1,high Depression,low Depression
0,1.0,Breath_response,MEAN,6504.831,5556.487
1,,mS,RANGE,"[2076.36, 68198.42]","[3743.35, 7616.25]"
2,,,CORR,-0.3786584199570478,-0.3786584199570478
3,,,STD,10185.911,1037.141
4,,,CI95,3111.864 - 9897.799,nan - nan
5,2.0,Connect_chattime,MEAN,0.493,0.354
6,,Hrs,RANGE,"[0.0, 3.0]","[0.0, 3.0]"
7,,,CORR,0.1563302180274821,0.1563302180274821
8,,,STD,0.687,0.743
9,,,CI95,0.265 - 0.722,0.034 - 0.675
10,3.0,Connect_chatpeople,MEAN,0.842,0.542
11,,# people,RANGE,"[0.0, 4.0]","[0.0, 5.0]"
12,,,CORR,0.2073747785421949,0.2073747785421949
13,,,STD,1.089,1.258
14,,,CI95,0.479 - 1.205,-0.001 - 1.084
15,4.0,Sleep_satisfaction,MEAN,3.447,3.583
16,,Score 1-5,RANGE,"[2.0, 4.0]","[3.0, 4.0]"
17,,,CORR,-0.0064761652258031,-0.0064761652258031
18,,,STD,0.677,0.493
19,,,CI95,3.222 - 3.673,3.371 - 3.796
20,5.0,Diet_satisfaction,MEAN,2.421,2.500
21,,Score 1-5,RANGE,"[1.0, 4.0]","[1.0, 4.0]"
22,,,CORR,-0.0936325946214817,-0.0936325946214817
23,,,STD,0.591,0.764
24,,,CI95,2.224 - 2.618,2.171 - 2.829
25,6.0,Connect_volunteertime,MEAN,0.105,0.333
26,,Hrs,RANGE,"[0.0, 2.0]","[0.0, 2.0]"
27,,,CORR,-0.2443682404412813,-0.2443682404412813
28,,,STD,0.447,0.624
29,,,CI95,-0.043 - 0.254,0.064 - 0.602
30,7.0,past_day_exercise_mild,MEAN,0.632,0.500
31,,Hrs,RANGE,"[0.0, 1.75]","[0.0, 1.5]"
32,,,CORR,0.2596717719524037,0.2596717719524037
33,,,STD,0.525,0.489
34,,,CI95,0.457 - 0.806,0.289 - 0.711
35,8.0,past_day_caffeine,MEAN,2.026,2.583
36,,cups,RANGE,"[0.0, 5.0]","[0.0, 6.0]"
37,,,CORR,-0.1463064829680189,-0.1463064829680189
38,,,STD,1.158,1.605
39,,,CI95,1.641 - 2.412,1.891 - 3.276
40,9.0,Sleep_bedtime,MEAN,20:45,21:23
41,,24 Hr scale,RANGE,['19:45-22:45'],['20:00-00:00']
42,,,CORR,0.1690547239401784,0.1690547239401784
43,,,STD,00:58,01:27
44,,,CI95,20:26 - 21:05,20:46 - 22:01
45,10.0,past_day_exercise_moderate,MEAN,0.178,0.010
46,,Hrs,RANGE,"[0.0, 1.75]","[0.0, 0.25]"
47,,,CORR,0.3167017037984072,0.3167017037984072
48,,,STD,0.380,0.050
49,,,CI95,0.051 - 0.304,-0.011 - 0.032
