,rank,level_0,level_1,high Depression,low Depression
0,1.0,Mood_anxious,MEAN,6.821,3.242
1,,Score 1-14,CORR,0.7129446211304916,0.7129446211304916
2,,,STD,2.592,2.045
3,,,CI95,5.798 - 7.845,2.506 - 3.979
4,2.0,cumm_step_distance,MEAN,1065.867,447.762
5,,meters,CORR,0.4569559680837172,0.4569559680837172
6,,,STD,689.856,302.303
7,,,CI95,793.460 - 1338.274,338.908 - 556.616
8,3.0,Gratitude,MEAN,5.667,6.143
9,,Score 1-7,CORR,-0.4145113444953914,-0.4145113444953914
10,,,STD,0.816,0.833
11,,,CI95,nan - nan,nan - nan
12,4.0,cumm_step_speed,MEAN,1.401,1.369
13,,meters/sec,CORR,0.1508561137371357,0.1508561137371357
14,,,STD,0.150,0.079
15,,,CI95,1.341 - 1.460,1.340 - 1.397
16,5.0,past_day_sugars,MEAN,2.036,2.242
17,,portions,CORR,0.0952714379034115,0.0952714379034115
18,,,STD,2.163,2.075
19,,,CI95,1.182 - 2.890,1.495 - 2.990
20,6.0,Breath_response,MEAN,4761.542,4170.534
21,,mS,CORR,0.0011038013620036,0.0011038013620036
22,,,STD,3790.366,1365.307
23,,,CI95,3264.822 - 6258.263,nan - nan
24,7.0,Sleep_percent,MEAN,88.214,90.606
25,,% of time asleep in bed,CORR,-0.0899101122869974,-0.0899101122869974
26,,,STD,7.345,6.247
27,,,CI95,85.314 - 91.115,88.357 - 92.856
28,8.0,time_of_day,MEAN,3.107,2.515
29,,"1-4 [<10,10-14,14-18,18]",CORR,0.1763798562877085,0.1763798562877085
30,,,STD,1.012,1.158
31,,,CI95,2.708 - 3.507,2.098 - 2.932
32,9.0,heart_rate,MEAN,78.453,78.298
33,,bpm,CORR,-0.1128175649320311,-0.1128175649320311
34,,,STD,5.487,7.597
35,,,CI95,76.286 - 80.620,75.562 - 81.033
36,10.0,past_day_exercise_mild,MEAN,0.625,0.462
37,,Hrs,CORR,0.3060240064157678,0.3060240064157678
38,,,STD,0.573,0.489
39,,,CI95,0.399 - 0.851,0.286 - 0.638
