,rank,level_0,level_1,high Depression,low Depression
0,1.0,Mood_anxious,MEAN,5.150,2.000
1,,Score 1-14,CORR,0.9963196010922476,0.9963196010922476
2,,,STD,2.220,0.000
3,,,CI95,4.084 - 6.216,nan - nan
4,2.0,Sleep_percent,MEAN,83.500,93.500
5,,% of time asleep in bed,CORR,-0.1040145478787201,-0.1040145478787201
6,,,STD,17.110,3.571
7,,,CI95,75.284 - 91.716,92.343 - 94.657
8,3.0,past_day_fats,MEAN,1.000,0.550
9,,portions,CORR,-0.2522683042797904,-0.2522683042797904
10,,,STD,1.342,1.071
11,,,CI95,0.356 - 1.644,0.203 - 0.897
12,4.0,past_day_exercise_mild,MEAN,0.000,0.562
13,,Hrs,CORR,-0.5755534300957732,-0.5755534300957732
14,,,STD,0.000,0.502
15,,,CI95,nan - nan,0.400 - 0.725
16,5.0,past_day_sugars,MEAN,1.100,0.450
17,,portions,CORR,-0.1013498453936781,-0.1013498453936781
18,,,STD,1.411,0.865
19,,,CI95,0.423 - 1.777,0.170 - 0.730
20,6.0,Connect_chatpeople,MEAN,1.500,0.575
21,,# people,CORR,0.2720515782997315,0.2720515782997315
22,,,STD,2.291,1.022
23,,,CI95,0.400 - 2.600,0.244 - 0.906
24,7.0,Breath_response,MEAN,4091.614,4770.305
25,,mS,CORR,-0.380743582096366,-0.380743582096366
26,,,STD,624.701,735.573
27,,,CI95,nan - nan,4532.060 - 5008.549
28,8.0,Sleep_duration,MEAN,9.400,9.369
29,,Hrs,CORR,-0.1348913947365714,-0.1348913947365714
30,,,STD,1.281,0.752
31,,,CI95,8.785 - 10.015,9.125 - 9.612
32,9.0,Gratitude,MEAN,6.000,5.900
33,,Score 1-7,CORR,0.2719314094193213,0.2719314094193213
34,,,STD,0.000,0.300
35,,,CI95,nan - nan,nan - nan
36,10.0,Sleep_wakeuptime,MEAN,07:03,07:06
37,,24 Hr scale,CORR,-0.1054137362213477,-0.1054137362213477
38,,,STD,00:58,00:39
39,,,CI95,06:35 - 07:31,06:54 - 07:19
