,rank,level_0,level_1,high Depression,low Depression
0,1.0,Mood_anxious,MEAN,5.074,2.743
1,,Score 1-14,CORR,0.6196958249819056,0.6196958249819056
2,,,STD,2.581,0.936
3,,,CI95,4.034 - 6.115,2.417 - 3.069
4,2.0,Gratitude,MEAN,4.556,5.500
5,,Score 1-7,CORR,-0.319978783654442,-0.319978783654442
6,,,STD,1.571,0.500
7,,,CI95,nan - nan,nan - nan
8,3.0,Reflect_totaltime,MEAN,11878.444,10601.875
9,,msec,CORR,-0.1547539305862176,-0.1547539305862176
10,,,STD,8706.368,7376.065
11,,,CI95,nan - nan,nan - nan
12,4.0,cumm_step_count,MEAN,4879.926,3752.200
13,,count,CORR,0.2819359315645505,0.2819359315645505
14,,,STD,2434.008,2749.311
15,,,CI95,3898.723 - 5861.129,2793.991 - 4710.409
16,5.0,past_day_exercise_moderate,MEAN,0.222,0.543
17,,Hrs,CORR,-0.2922869322993419,-0.2922869322993419
18,,,STD,0.497,0.553
19,,,CI95,0.022 - 0.423,0.350 - 0.735
20,6.0,Sleep_bedtime,MEAN,22:54,22:12
21,,24 Hr scale,CORR,-0.1112707624860478,-0.1112707624860478
22,,,STD,01:44,01:18
23,,,CI95,22:12 - 23:36,21:45 - 22:39
24,7.0,time_of_day,MEAN,2.185,1.657
25,,"1-4 [<10,10-14,14-18,18]",CORR,0.3474961478597737,0.3474961478597737
26,,,STD,1.187,1.120
27,,,CI95,1.706 - 2.664,1.267 - 2.047
28,8.0,past_day_fats,MEAN,0.222,0.886
29,,portions,CORR,0.3523016552893454,0.3523016552893454
30,,,STD,0.497,1.190
31,,,CI95,0.022 - 0.423,0.471 - 1.300
32,9.0,past_day_sugars,MEAN,1.037,0.371
33,,portions,CORR,-0.2459766272250586,-0.2459766272250586
34,,,STD,1.261,0.680
35,,,CI95,0.529 - 1.546,0.135 - 0.608
36,10.0,Reflect_activetime,MEAN,2717.889,2576.375
37,,msec,CORR,0.0490423466094318,0.0490423466094318
38,,,STD,2217.024,1651.712
39,,,CI95,nan - nan,nan - nan
