,rank,level_0,level_1,high Depression,low Depression
0,1.0,time_of_day,MEAN,2.415,2.750
1,,"1-4 [<10,10-14,14-18,18]",CORR,-0.1216546790892732,-0.1216546790892732
2,,,STD,1.035,1.135
3,,,CI95,2.084 - 2.745,2.205 - 3.295
4,2.0,Connect_chatpeople,MEAN,1.463,0.800
5,,# people,CORR,0.3426139211824874,0.3426139211824874
6,,,STD,1.594,1.166
7,,,CI95,0.954 - 1.973,0.240 - 1.360
8,3.0,Exercise_satisfaction,MEAN,2.073,2.000
9,,Score 1-5,CORR,0.140389109704118,0.140389109704118
10,,,STD,1.552,1.612
11,,,CI95,1.577 - 2.569,1.226 - 2.774
12,4.0,Connect_satisfaction,MEAN,2.463,2.200
13,,Score 1-5,CORR,0.1796053561262571,0.1796053561262571
14,,,STD,1.516,1.833
15,,,CI95,1.979 - 2.948,1.320 - 3.080
16,5.0,past_day_fats,MEAN,1.902,1.650
17,,portions,CORR,-0.1736566656981155,-0.1736566656981155
18,,,STD,1.495,2.128
19,,,CI95,1.425 - 2.380,0.628 - 2.672
20,6.0,past_day_sugars,MEAN,0.146,0.100
21,,portions,CORR,0.0609166000896535,0.0609166000896535
22,,,STD,0.353,0.300
23,,,CI95,0.033 - 0.259,-0.044 - 0.244
24,7.0,Mood_anxious,MEAN,8.073,7.150
25,,Score 1-14,CORR,0.4398156223371452,0.4398156223371452
26,,,STD,1.488,0.654
27,,,CI95,7.598 - 8.549,6.836 - 7.464
28,8.0,Sleep_satisfaction,MEAN,3.171,3.200
29,,Score 1-5,CORR,-0.0039842565500654,-0.0039842565500654
30,,,STD,1.247,1.077
31,,,CI95,2.772 - 3.569,2.683 - 3.717
32,9.0,Sleep_bedtime,MEAN,22:07,22:04
33,,24 Hr scale,CORR,-0.0045574791463109,-0.0045574791463109
34,,,STD,01:04,01:02
35,,,CI95,21:47 - 22:28,21:35 - 22:34
36,10.0,Breath_consistency,MEAN,0.760,-0.004
37,,1-(std/mean),CORR,0.1515280627036123,0.1515280627036123
38,,,STD,0.168,1.899
39,,,CI95,nan - nan,-0.915 - 0.908
