,rank,level_0,level_1,high Depression,low Depression
0,1.0,Mood_anxious,MEAN,7.931,5.697
1,,Score 1-14,RANGE,"[5, 13]","[3, 10]"
2,,,CORR,0.6864441129161842,0.6864441129161842
3,,,STD,1.981,1.623
4,2.0,Sleep_bedtime,MEAN,03:22,04:53
5,,24 Hr scale,RANGE,['16:30-09:30'],['16:30-10:00']
6,,,CORR,0.2129748476470585,0.2129748476470585
7,,,STD,03:57,03:15
8,3.0,past_day_fats,MEAN,3.172,4.970
9,,portions,RANGE,"[0.0, 8.0]","[0.0, 11.0]"
10,,,CORR,0.245793979,0.245793979
11,,,STD,2.913,3.138
12,4.0,past_day_sugars,MEAN,2.069,2.333
13,,portions,RANGE,"[0.0, 6.0]","[0.0, 7.0]"
14,,,CORR,0.078824989,0.078824989
15,,,STD,1.596,2.069
16,5.0,past_day_exercise_moderate,MEAN,0.853,0.538
17,,Hrs,RANGE,"[0.0, 3.25]","[0.0, 2.25]"
18,,,CORR,0.096268654,0.096268654
19,,,STD,1.035,0.767
20,6.0,Sleep_duration,MEAN,5.810,6.076
21,,Hrs,RANGE,"[2.25, 9.25]","[3.0, 9.25]"
22,,,CORR,-0.025678654,-0.025678654
23,,,STD,1.888,1.761
24,7.0,Gratitude,MEAN,5.625,6.000
25,,Score 1-7,RANGE,"[5.0, 6.0]","[5.0, 7.0]"
26,,,CORR,0.18,0.18
27,,,STD,0.484,0.667
28,8.0,Connect_chattime,MEAN,0.621,0.826
29,,Hrs,RANGE,"[0.0, 3.0]","[0.0, 3.0]"
30,,,CORR,-0.117288158,-0.117288158
31,,,STD,0.946,1.040
32,9.0,Connect_chatpeople,MEAN,0.483,0.848
33,,# people,RANGE,"[0.0, 3.0]","[0.0, 4.0]"
34,,,CORR,-0.151638597,-0.151638597
35,,,STD,0.725,1.048
36,10.0,Exercise_satisfaction,MEAN,4.655,4.606
37,,Score 1-5,RANGE,"[1.0, 5.0]","[3.0, 5.0]"
38,,,CORR,0.1078391974845352,0.1078391974845352
39,,,STD,0.800,0.547
