,rank,level_0,level_1,high Depression,low Depression
0,1.0,Mood_anxious,MEAN,12.667,9.576
1,,Score 1-14,CORR,0.833933684,0.833933684
2,,,STD,1.054,1.776
3,,,CI95,12.242 - 13.092,8.936 - 10.215
4,2.0,Connect_chattime,MEAN,0.343,0.379
5,,Hrs,CORR,-0.110188897,-0.110188897
6,,,STD,0.320,0.315
7,,,CI95,0.214 - 0.472,0.266 - 0.492
8,3.0,Sleep_wakeuptime,MEAN,01:23,01:22
9,,24 Hr scale,CORR,0.013377757,0.013377757
10,,,STD,00:27,00:24
11,,,CI95,01:12 - 01:34,01:14 - 01:31
12,4.0,Exercise_satisfaction,MEAN,3.259,3.364
13,,Score 1-5,CORR,-0.249544138,-0.249544138
14,,,STD,0.644,0.688
15,,,CI95,3.000 - 3.519,3.116 - 3.611
16,5.0,Breath_response,MEAN,6051.660,5792.194
17,,mS,CORR,0.153744956,0.153744956
18,,,STD,1357.793,1635.362
19,,,CI95,nan - nan,5203.329 - 6381.059
20,6.0,Connect_chatpeople,MEAN,1.222,1.091
21,,# people,CORR,0.008878176,0.008878176
22,,,STD,1.030,0.793
23,,,CI95,0.807 - 1.638,0.806 - 1.376
24,7.0,past_day_exercise_moderate,MEAN,1.648,1.371
25,,Hrs,CORR,-0.028625572,-0.028625572
26,,,STD,1.028,0.853
27,,,CI95,1.234 - 2.063,1.064 - 1.678
28,8.0,Reflect_totaltime,MEAN,16257.286,16596.125
29,,msec,CORR,-0.064476405,-0.064476405
30,,,STD,7937.219,6815.175
31,,,CI95,nan - nan,nan - nan
32,9.0,Diet_satisfaction,MEAN,3.111,3.242
33,,Score 1-5,CORR,-0.164430816,-0.164430816
34,,,STD,0.497,0.429
35,,,CI95,2.911 - 3.311,3.088 - 3.397
36,10.0,Breath_consistency,MEAN,0.371,0.370
37,,1-(std/mean),CORR,-0.019884198,-0.019884198
38,,,STD,0.151,0.159
39,,,CI95,nan - nan,0.313 - 0.428
