,rank,level_0,level_1,high Depression,low Depression
0,1.0,Mood_anxious,MEAN,5.308,1.583
1,,Score 1-14,RANGE,"[1.0, 13.0]","[1.0, 8.0]"
2,,,CORR,0.4678441561661207,0.4678441561661207
3,,,STD,4.027,1.187
4,,,CI95,nan - nan,1.176 - 1.991
5,2.0,past_day_fats,MEAN,0.923,1.639
6,,portions,RANGE,"[0.0, 4.0]","[0.0, 8.0]"
7,,,CORR,0.2079849272165152,0.2079849272165152
8,,,STD,1.141,2.175
9,,,CI95,nan - nan,0.893 - 2.385
10,3.0,Exercise_satisfaction,MEAN,3.769,4.333
11,,Score 1-5,RANGE,"[1.0, 5.0]","[1.0, 5.0]"
12,,,CORR,-0.2235621696764193,-0.2235621696764193
13,,,STD,1.395,1.130
14,,,CI95,nan - nan,3.945 - 4.721
15,4.0,past_day_caffeine,MEAN,0.731,0.639
16,,cups,RANGE,"[0.0, 2.0]","[0.0, 2.0]"
17,,,CORR,0.0532335235829204,0.0532335235829204
18,,,STD,0.654,0.673
19,,,CI95,nan - nan,0.408 - 0.870
20,5.0,past_day_exercise_mild,MEAN,0.548,0.514
21,,Hrs,RANGE,"[0.0, 2.0]","[0.0, 2.0]"
22,,,CORR,0.0561305841980744,0.0561305841980744
23,,,STD,0.711,0.656
24,,,CI95,nan - nan,0.289 - 0.739
25,6.0,Breath_consistency,MEAN,0.201,0.164
26,,1-(std/mean),RANGE,"[-0.53, 1.0]","[-0.47, 1.0]"
27,,,CORR,0.1534896582146545,0.1534896582146545
28,,,STD,0.294,0.261
29,,,CI95,nan - nan,0.074 - 0.253
30,7.0,past_day_sugars,MEAN,0.615,0.306
31,,portions,RANGE,"[0.0, 2.0]","[0.0, 5.0]"
32,,,CORR,-0.2461044490399106,-0.2461044490399106
33,,,STD,0.788,0.876
34,,,CI95,nan - nan,0.005 - 0.606
35,8.0,Connect_chatpeople,MEAN,1.385,1.389
36,,# people,RANGE,"[0.0, 5.0]","[0.0, 4.0]"
37,,,CORR,-0.1867082071670364,-0.1867082071670364
38,,,STD,1.211,1.035
39,,,CI95,nan - nan,1.034 - 1.744
40,9.0,Connect_chattime,MEAN,0.673,0.653
41,,Hrs,RANGE,"[0.0, 2.5]","[0.0, 2.0]"
42,,,CORR,-0.0340607187944804,-0.0340607187944804
43,,,STD,0.591,0.566
44,,,CI95,nan - nan,0.459 - 0.847
45,10.0,Sleep_satisfaction,MEAN,4.154,4.278
46,,Score 1-5,RANGE,"[2.0, 5.0]","[1.0, 5.0]"
47,,,CORR,-0.0723147967646593,-0.0723147967646593
48,,,STD,1.026,0.931
49,,,CI95,nan - nan,3.958 - 4.597
