,rank,level_0,level_1,high Depression,low Depression
0,1.0,Connect_satisfaction,MEAN,1.667,2.909
1,,Score 1-5,RANGE,"[1.0, 5.0]","[1.0, 5.0]"
2,,,CORR,-0.3399901499889384,-0.3399901499889384
3,,,STD,1.491,1.928
4,,,CI95,0.904 - 2.429,2.316 - 3.502
5,2.0,Sleep_bedtime,MEAN,00:08,23:43
6,,24 Hr scale,RANGE,['22:00-02:00'],['21:00-02:00']
7,,,CORR,-0.4464585300825751,-0.4464585300825751
8,,,STD,00:42,01:40
9,,,CI95,23:47 - 00:30,23:12 - 00:14
10,3.0,past_day_fats,MEAN,8.111,3.841
11,,portions,RANGE,"[1.0, 14.0]","[0.0, 13.0]"
12,,,CORR,-0.4263127518757306,-0.4263127518757306
13,,,STD,4.012,3.643
14,,,CI95,6.058 - 10.164,2.721 - 4.961
15,4.0,past_day_exercise_moderate,MEAN,3.222,0.318
16,,Hrs,RANGE,"[0.0, 9.0]","[0.0, 7.0]"
17,,,CORR,0.4545011179023194,0.4545011179023194
18,,,STD,3.966,1.458
19,,,CI95,1.193 - 5.252,-0.130 - 0.767
20,5.0,past_day_caffeine,MEAN,1.167,0.682
21,,cups,RANGE,"[0.0, 3.0]","[0.0, 3.0]"
22,,,CORR,0.2192276117219784,0.2192276117219784
23,,,STD,0.833,0.873
24,,,CI95,0.740 - 1.593,0.413 - 0.950
25,6.0,past_day_exercise_strenuous,MEAN,0.403,0.574
26,,Hrs,RANGE,"[0.0, 1.0]","[0.0, 1.75]"
27,,,CORR,-0.129833986297386,-0.129833986297386
28,,,STD,0.465,0.451
29,,,CI95,0.165 - 0.641,0.435 - 0.713
30,7.0,Mood_anxious,MEAN,4.389,2.341
31,,Score 1-14,RANGE,"[1, 14]","[1, 9]"
32,,,CORR,0.2473533042648437,0.2473533042648437
33,,,STD,4.386,2.504
34,,,CI95,2.145 - 6.633,1.571 - 3.111
35,8.0,past_day_sugars,MEAN,1.722,0.955
36,,portions,RANGE,"[0.0, 8.0]","[0.0, 3.0]"
37,,,CORR,-0.0746489265099759,-0.0746489265099759
38,,,STD,2.280,1.065
39,,,CI95,0.555 - 2.889,0.627 - 1.282
40,9.0,Sleep_satisfaction,MEAN,4.222,4.227
41,,Score 1-5,RANGE,"[3.0, 5.0]","[3.0, 5.0]"
42,,,CORR,0.1127378018777032,0.1127378018777032
43,,,STD,0.916,0.901
44,,,CI95,3.753 - 4.691,3.950 - 4.504
45,10.0,Reflect_activetime,MEAN,4201.800,2462.083
46,,msec,RANGE,"[677.0, 7264.0]","[900.0, 5245.0]"
47,,,CORR,18,44
48,,,STD,2550.274,1145.961
49,,,CI95,nan - nan,nan - nan
