,rank,level_0,level_1,high Depression,low Depression
0,1.0,Mood_anxious,MEAN,7.148,5.485
1,,Score 1-14,CORR,0.5265889362947845,0.5265889362947845
2,,,STD,1.603,1.540
3,,,CI95,6.502 - 7.794,4.930 - 6.039
4,2.0,Sleep_duration,MEAN,5.963,7.205
5,,Hrs,CORR,-0.4090799186387912,-0.4090799186387912
6,,,STD,1.694,1.329
7,,,CI95,5.280 - 6.646,6.726 - 7.683
8,3.0,past_day_exercise_moderate,MEAN,0.083,0.538
9,,Hrs,CORR,-0.4249914313894363,-0.4249914313894363
10,,,STD,0.167,0.718
11,,,CI95,0.016 - 0.151,0.279 - 0.796
12,4.0,Sleep_satisfaction,MEAN,3.926,4.515
13,,Score 1-5,CORR,-0.4090083464656925,-0.4090083464656925
14,,,STD,0.813,0.657
15,,,CI95,3.598 - 4.254,4.279 - 4.752
16,5.0,Breath_response,MEAN,4924.805,3780.444
17,,mS,CORR,0.2307071367013066,0.2307071367013066
18,,,STD,4709.828,1203.653
19,,,CI95,3026.168 - 6823.443,nan - nan
20,6.0,Gratitude,MEAN,5.200,5.200
21,,Score 1-7,CORR,0.2987415597358016,0.2987415597358016
22,,,STD,0.400,0.600
23,,,CI95,nan - nan,nan - nan
24,7.0,heart_rate,MEAN,90.734,92.638
25,,bpm,CORR,-0.1591054608854303,-0.1591054608854303
26,,,STD,8.107,10.710
27,,,CI95,87.465 - 94.002,88.781 - 96.494
28,8.0,time_of_day,MEAN,2.148,2.152
29,,"1-4 [<10,10-14,14-18,18]",CORR,0.0114878138686625,0.0114878138686625
30,,,STD,1.112,1.131
31,,,CI95,1.700 - 2.597,1.744 - 2.559
32,9.0,Diet_satisfaction,MEAN,4.444,4.697
33,,Score 1-5,CORR,-0.2590612177933222,-0.2590612177933222
34,,,STD,0.629,0.577
35,,,CI95,4.191 - 4.698,4.489 - 4.905
36,10.0,Connect_chattime,MEAN,0.370,0.311
37,,Hrs,CORR,0.0104588687443895,0.0104588687443895
38,,,STD,0.595,0.404
39,,,CI95,0.131 - 0.610,0.165 - 0.456
