,rank,level_0,level_1,high Depression,low Depression
0,1.0,time_of_day,MEAN,1.720,1.872
1,,"1-4 [<10,10-14,14-18,18]",CORR,-0.1485909581569671,-0.1485909581569671
2,,,STD,0.960,0.939
3,,,CI95,1.316 - 2.124,1.564 - 2.180
4,2.0,past_day_sugars,MEAN,1.720,1.026
5,,portions,CORR,-0.1799754546279035,-0.1799754546279035
6,,,STD,1.114,1.121
7,,,CI95,1.251 - 2.189,0.658 - 1.394
8,3.0,Connect_satisfaction,MEAN,2.160,2.513
9,,Score 1-5,CORR,-0.3202636660017576,-0.3202636660017576
10,,,STD,0.784,1.174
11,,,CI95,1.830 - 2.490,2.127 - 2.898
12,4.0,Connect_chatpeople,MEAN,1.160,1.282
13,,# people,CORR,-0.1230201346092513,-0.1230201346092513
14,,,STD,1.433,1.694
15,,,CI95,0.556 - 1.764,0.726 - 1.838
16,5.0,past_day_fats,MEAN,0.440,0.769
17,,portions,CORR,0.1605406796155584,0.1605406796155584
18,,,STD,0.898,1.049
19,,,CI95,0.062 - 0.818,0.425 - 1.114
20,6.0,Mood_anxious,MEAN,2.000,1.513
21,,Score 1-14,CORR,0.1908095183860812,0.1908095183860812
22,,,STD,1.523,0.843
23,,,CI95,1.358 - 2.642,1.236 - 1.790
24,7.0,Connect_chattime,MEAN,0.290,0.532
25,,Hrs,CORR,-0.1413736588058879,-0.1413736588058879
26,,,STD,0.457,0.807
27,,,CI95,0.098 - 0.482,0.267 - 0.797
28,8.0,Connect_grouptime,MEAN,0.560,0.538
29,,Hrs,CORR,-0.015814634213346,-0.015814634213346
30,,,STD,0.496,0.548
31,,,CI95,0.351 - 0.769,0.359 - 0.718
32,9.0,Exercise_satisfaction,MEAN,1.320,1.564
33,,Score 1-5,CORR,-0.1216739718695729,-0.1216739718695729
34,,,STD,0.676,0.955
35,,,CI95,1.035 - 1.605,1.250 - 1.878
36,10.0,Reflect_totaltime,MEAN,17258.667,27319.818
37,,msec,CORR,-0.1273368051055161,-0.1273368051055161
38,,,STD,8122.322,19053.748
39,,,CI95,nan - nan,nan - nan
