,rank,level_0,level_1,high Depression,low Depression
0,1.0,time_of_day,MEAN,2.423,2.457
1,,"1-4 [<10,10-14,14-18,18]",CORR,-0.0609923534606457,-0.0609923534606457
2,,,STD,1.276,1.295
3,,,CI95,1.897 - 2.949,2.006 - 2.908
4,2.0,past_day_exercise_moderate,MEAN,0.154,0.293
5,,Hrs,CORR,-0.2507878592530697,-0.2507878592530697
6,,,STD,0.318,0.429
7,,,CI95,0.023 - 0.285,0.143 - 0.442
8,3.0,past_day_sugars,MEAN,2.423,2.257
9,,portions,CORR,-0.0143741506979923,-0.0143741506979923
10,,,STD,2.041,1.826
11,,,CI95,1.582 - 3.264,1.621 - 2.894
12,4.0,past_day_exercise_mild,MEAN,0.423,0.307
13,,Hrs,CORR,0.1587199522905887,0.1587199522905887
14,,,STD,0.583,0.630
15,,,CI95,0.183 - 0.663,0.088 - 0.527
16,5.0,Connect_chattime,MEAN,0.606,0.793
17,,Hrs,CORR,-0.0200664137044011,-0.0200664137044011
18,,,STD,0.951,1.338
19,,,CI95,0.214 - 0.998,0.326 - 1.259
20,6.0,past_day_fats,MEAN,1.038,1.286
21,,portions,CORR,0.1127196295106076,0.1127196295106076
22,,,STD,1.581,1.343
23,,,CI95,0.387 - 1.690,0.818 - 1.754
24,7.0,Mood_anxious,MEAN,6.385,5.686
25,,Score 1-14,CORR,0.279339525174423,0.279339525174423
26,,,STD,2.371,1.924
27,,,CI95,5.408 - 7.361,5.015 - 6.356
28,8.0,Sleep_satisfaction,MEAN,4.500,4.400
29,,Score 1-5,CORR,0.1484170649525873,0.1484170649525873
30,,,STD,1.010,0.763
31,,,CI95,4.084 - 4.916,4.134 - 4.666
32,9.0,exercise_duration,MEAN,17.829,23.988
33,,Min,CORR,-0.0037831069196668,-0.0037831069196668
34,,,STD,20.588,36.034
35,,,CI95,9.349 - 26.310,11.429 - 36.547
36,10.0,cumm_step_distance,MEAN,1743.450,2020.415
37,,meters,CORR,-0.1063269422506162,-0.1063269422506162
38,,,STD,1482.719,1597.514
39,,,CI95,1132.707 - 2354.194,1463.638 - 2577.192
