,rank,level_0,level_1,high Depression,low Depression
0,1.0,Connect_chattime,MEAN,0.283,0.565
1,,Hrs,CORR,-0.2374748994174235,-0.2374748994174235
2,,,STD,0.256,0.802
3,,,CI95,0.137 - 0.430,0.325 - 0.806
4,2.0,time_of_day,MEAN,2.933,2.804
5,,"1-4 [<10,10-14,14-18,18]",CORR,0.0194857003557892,0.0194857003557892
6,,,STD,1.123,1.096
7,,,CI95,2.289 - 3.577,2.475 - 3.133
8,3.0,past_day_exercise_moderate,MEAN,0.417,0.777
9,,Hrs,CORR,-0.2170779940987278,-0.2170779940987278
10,,,STD,0.773,1.226
11,,,CI95,-0.026 - 0.860,0.409 - 1.145
12,4.0,Connect_satisfaction,MEAN,3.267,3.717
13,,Score 1-5,CORR,-0.3725250945839408,-0.3725250945839408
14,,,STD,0.772,0.901
15,,,CI95,2.824 - 3.709,3.447 - 3.988
16,5.0,Exercise_satisfaction,MEAN,2.667,3.391
17,,Score 1-5,CORR,-0.4128378185127759,-0.4128378185127759
18,,,STD,0.596,0.766
19,,,CI95,2.325 - 3.008,3.161 - 3.621
20,6.0,Connect_chatpeople,MEAN,0.933,1.087
21,,# people,CORR,-0.1401712750115473,-0.1401712750115473
22,,,STD,0.854,0.928
23,,,CI95,0.444 - 1.423,0.808 - 1.366
24,7.0,Sleep_bedtime,MEAN,00:38,00:56
25,,24 Hr scale,CORR,0.1236811158373969,0.1236811158373969
26,,,STD,01:28,01:18
27,,,CI95,23:48 - 01:28,00:32 - 01:19
28,8.0,past_day_sugars,MEAN,1.400,1.217
29,,portions,CORR,-0.0856924459554548,-0.0856924459554548
30,,,STD,1.405,1.041
31,,,CI95,0.595 - 2.205,0.905 - 1.530
32,9.0,past_day_fats,MEAN,0.600,0.935
33,,portions,CORR,0.0374153101654778,0.0374153101654778
34,,,STD,0.712,1.309
35,,,CI95,0.192 - 1.008,0.542 - 1.328
36,10.0,past_day_caffeine,MEAN,0.867,1.000
37,,cups,CORR,0.037391787975027,0.037391787975027
38,,,STD,0.718,0.885
39,,,CI95,0.455 - 1.278,0.734 - 1.266
