,rank,level_0,level_1,high Depression,low Depression
0,1.0,time_of_day,MEAN,1.941,2.444
1,,"1-4 [<10,10-14,14-18,18]",CORR,-0.2381410726672125,-0.2381410726672125
2,,,STD,1.110,0.956
3,,,CI95,1.548 - 2.334,2.059 - 2.830
4,2.0,Connect_chatpeople,MEAN,0.794,1.667
5,,# people,CORR,-0.2770516432222258,-0.2770516432222258
6,,,STD,1.278,1.905
7,,,CI95,0.341 - 1.247,0.899 - 2.435
8,3.0,Connect_chattime,MEAN,0.507,1.176
9,,Hrs,CORR,-0.2634675490638614,-0.2634675490638614
10,,,STD,0.758,1.359
11,,,CI95,0.239 - 0.776,0.628 - 1.724
12,4.0,past_day_caffeine,MEAN,2.324,2.111
13,,cups,CORR,0.1692737380204807,0.1692737380204807
14,,,STD,1.104,1.066
15,,,CI95,1.933 - 2.715,1.681 - 2.541
16,5.0,past_day_exercise_mild,MEAN,0.235,0.435
17,,Hrs,CORR,-0.1932357978999796,-0.1932357978999796
18,,,STD,0.277,0.449
19,,,CI95,0.137 - 0.334,0.254 - 0.616
20,6.0,Breath_consistency,MEAN,0.776,0.867
21,,1-(std/mean),CORR,-0.1297848363339052,-0.1297848363339052
22,,,STD,0.367,0.176
23,,,CI95,nan - nan,0.796 - 0.938
24,7.0,past_day_exercise_moderate,MEAN,0.118,0.111
25,,Hrs,CORR,-0.0698002081077502,-0.0698002081077502
26,,,STD,0.203,0.196
27,,,CI95,0.046 - 0.190,0.032 - 0.190
28,8.0,Exercise_satisfaction,MEAN,4.029,4.259
29,,Score 1-5,CORR,-0.2005567941124024,-0.2005567941124024
30,,,STD,1.098,0.927
31,,,CI95,3.641 - 4.418,3.886 - 4.633
32,9.0,past_day_fats,MEAN,2.618,3.074
33,,portions,CORR,0.1425357650031948,0.1425357650031948
34,,,STD,1.681,1.585
35,,,CI95,2.022 - 3.213,2.435 - 3.713
36,10.0,Sleep_satisfaction,MEAN,3.353,3.630
37,,Score 1-5,CORR,-0.1515294091765528,-0.1515294091765528
38,,,STD,0.800,0.867
39,,,CI95,3.070 - 3.636,3.280 - 3.979
