,rank,level_0,level_1,high Depression,low Depression
0,1.0,Sleep_duration,MEAN,7.077,7.693
1,,Hrs,RANGE,"[5.5, 11.0]","[5.5, 11.0]"
2,,,CORR,-0.2375241270435421,-0.2375241270435421
3,,,STD,1.094,1.648
4,,,CI95,6.718 - 7.436,6.945 - 8.441
5,2.0,cumm_step_speed,MEAN,1.035,1.069
6,,meters/sec,RANGE,"[0.82, 1.21]","[0.8, 1.22]"
7,,,CORR,-0.2979170336697923,-0.2979170336697923
8,,,STD,0.078,0.099
9,,,CI95,1.009 - 1.060,1.024 - 1.114
10,3.0,past_day_fats,MEAN,2.590,3.455
11,,portions,RANGE,"[0.0, 6.0]","[0.0, 7.0]"
12,,,CORR,0.2712362736510906,0.2712362736510906
13,,,STD,1.836,1.948
14,,,CI95,1.987 - 3.193,2.571 - 4.338
15,4.0,past_day_sugars,MEAN,2.282,2.045
16,,portions,RANGE,"[0.0, 7.0]","[0.0, 6.0]"
17,,,CORR,0.018135482204192,0.018135482204192
18,,,STD,2.012,2.078
19,,,CI95,1.621 - 2.943,1.103 - 2.988
20,5.0,Reflect_activetime,MEAN,11450.000,36716.333
21,,msec,RANGE,"[1333.0, 33658.0]","[3765.0, 99455.0]"
22,,,CORR,0.2914628980314512,0.2914628980314512
23,,,STD,9489.457,44381.738
24,,,CI95,nan - nan,nan - nan
25,6.0,Reflect_totaltime,MEAN,48878.100,137123.000
26,,msec,RANGE,"[7031.0, 144760.0]","[27020.0, 354172.0]"
27,,,CORR,0.2887932328355919,0.2887932328355919
28,,,STD,40068.805,153482.231
29,,,CI95,nan - nan,nan - nan
30,7.0,heart_rate,MEAN,78.241,79.804
31,,bpm,RANGE,"[66.67, 92.0]","[65.67, 104.0]"
32,,,CORR,-0.0858943327258818,-0.0858943327258818
33,,,STD,5.972,9.868
34,,,CI95,76.280 - 80.202,75.326 - 84.282
35,8.0,Breath_consistency,MEAN,0.802,0.847
36,,1-(std/mean),RANGE,"[-1.09, 0.98]","[0.04, 0.97]"
37,,,CORR,0.0235869320601194,0.0235869320601194
38,,,STD,0.353,0.191
39,,,CI95,nan - nan,0.760 - 0.934
40,9.0,Breath_response,MEAN,3666.755,4011.947
41,,mS,RANGE,"[1480.64, 5845.27]","[2187.26, 6382.17]"
42,,,CORR,-0.1621748264034083,-0.1621748264034083
43,,,STD,951.949,1156.268
44,,,CI95,nan - nan,3487.222 - 4536.672
45,10.0,Connect_chatpeople,MEAN,1.282,1.500
46,,# people,RANGE,"[0.0, 9.0]","[0.0, 5.0]"
47,,,CORR,0.056601540410808,0.056601540410808
48,,,STD,1.663,1.672
49,,,CI95,0.736 - 1.828,0.741 - 2.259
