,rank,level_0,level_1,high Depression,low Depression
0,1.0,Mood_anxious,MEAN,9.815,5.788
1,,Score 1-14,CORR,0.7142240293810278,0.7142240293810278
2,,,STD,2.568,2.532
3,,,CI95,8.780 - 10.850,4.876 - 6.700
4,2.0,Breath_consistency,MEAN,0.898,0.894
5,,1-(std/mean),CORR,0.2209062358879411,0.2209062358879411
6,,,STD,0.114,0.070
7,,,CI95,0.852 - 0.944,nan - nan
8,3.0,Sleep_bedtime,MEAN,00:24,23:13
9,,24 Hr scale,CORR,-0.3176044797829652,-0.3176044797829652
10,,,STD,01:28,01:26
11,,,CI95,23:48 - 00:59,22:42 - 23:44
12,4.0,Breath_response,MEAN,5119.491,4740.025
13,,mS,CORR,0.1962520021165351,0.1962520021165351
14,,,STD,715.466,917.319
15,,,CI95,4831.070 - 5407.911,nan - nan
16,5.0,past_day_exercise_moderate,MEAN,1.259,3.015
17,,Hrs,CORR,-0.1914485788382466,-0.1914485788382466
18,,,STD,2.073,3.857
19,,,CI95,0.423 - 2.095,1.626 - 4.404
20,6.0,past_day_exercise_mild,MEAN,0.667,1.364
21,,Hrs,CORR,-0.2456054679278911,-0.2456054679278911
22,,,STD,0.979,1.578
23,,,CI95,0.272 - 1.061,0.796 - 1.932
24,7.0,Connect_satisfaction,MEAN,2.630,2.970
25,,Score 1-5,CORR,-0.3069227512544025,-0.3069227512544025
26,,,STD,0.867,0.937
27,,,CI95,2.280 - 2.979,2.632 - 3.307
28,8.0,Gratitude,MEAN,2.714,4.625
29,,Score 1-7,CORR,-0.4190471478334489,-0.4190471478334489
30,,,STD,1.161,0.857
31,,,CI95,nan - nan,nan - nan
32,9.0,exercise_calorie,MEAN,131.681,94.668
33,,kCal,CORR,0.157431977992225,0.157431977992225
34,,,STD,138.785,153.511
35,,,CI95,75.734 - 187.629,39.391 - 149.944
36,10.0,Exercise_satisfaction,MEAN,3.037,3.576
37,,Score 1-5,CORR,-0.2606304254784544,-0.2606304254784544
38,,,STD,0.637,0.854
39,,,CI95,2.780 - 3.294,3.268 - 3.883
