,rank,level_0,level_1,high Depression,low Depression
0,1.0,Mood_anxious,MEAN,5.853,4.273
1,,Score 1-14,CORR,0.6081810938923093,0.6081810938923093
2,,,STD,1.141,1.188
3,,,CI95,5.449 - 6.257,3.845 - 4.700
4,2.0,Sleep_bedtime,MEAN,23:55,23:24
5,,24 Hr scale,CORR,-0.1536108078833424,-0.1536108078833424
6,,,STD,00:58,00:58
7,,,CI95,23:34 - 00:15,23:03 - 23:45
8,3.0,past_day_exercise_mild,MEAN,0.721,1.326
9,,Hrs,CORR,-0.2879188029068069,-0.2879188029068069
10,,,STD,0.813,1.445
11,,,CI95,0.433 - 1.009,0.805 - 1.846
12,4.0,past_day_caffeine,MEAN,0.676,0.545
13,,cups,CORR,0.0514781069144457,0.0514781069144457
14,,,STD,0.794,0.700
15,,,CI95,0.395 - 0.958,0.293 - 0.798
16,5.0,time_of_day,MEAN,2.529,2.636
17,,"1-4 [<10,10-14,14-18,18]",CORR,-0.0228953608322454,-0.0228953608322454
18,,,STD,1.091,1.150
19,,,CI95,2.143 - 2.916,2.222 - 3.050
20,6.0,Connect_chattime,MEAN,0.963,1.265
21,,Hrs,CORR,-0.172490396828426,-0.172490396828426
22,,,STD,0.947,0.963
23,,,CI95,0.628 - 1.299,0.918 - 1.612
24,7.0,Connect_chatpeople,MEAN,1.441,1.636
25,,# people,CORR,-0.1531681714584296,-0.1531681714584296
26,,,STD,1.006,0.948
27,,,CI95,1.085 - 1.797,1.295 - 1.978
28,8.0,past_day_sugars,MEAN,1.382,1.455
29,,portions,CORR,0.0393586113598328,0.0393586113598328
30,,,STD,1.261,1.616
31,,,CI95,0.936 - 1.829,0.873 - 2.036
32,9.0,Exercise_satisfaction,MEAN,1.735,2.000
33,,Score 1-5,CORR,-0.2331695772142946,-0.2331695772142946
34,,,STD,0.740,0.921
35,,,CI95,1.473 - 1.997,1.668 - 2.332
36,10.0,Reflect_activetime,MEAN,6802.200,4721.800
37,,msec,CORR,-0.26506556653272,-0.26506556653272
38,,,STD,3828.616,2754.014
39,,,CI95,nan - nan,nan - nan
