,rank,level_0,level_1,high Depression,low Depression
0,1.0,Mood_anxious,MEAN,5.424,3.214
1,,Score 1-14,CORR,0.5563680335164435,0.5563680335164435
2,,,STD,2.686,1.677
3,,,CI95,4.457 - 6.391,2.552 - 3.876
4,2.0,Exercise_satisfaction,MEAN,3.364,4.679
5,,Score 1-5,CORR,-0.4716595786958934,-0.4716595786958934
6,,,STD,1.389,0.601
7,,,CI95,2.864 - 3.864,4.441 - 4.916
8,3.0,past_day_caffeine,MEAN,1.909,2.179
9,,cups,CORR,-0.0683303836455485,-0.0683303836455485
10,,,STD,0.965,0.966
11,,,CI95,1.562 - 2.257,1.797 - 2.560
12,4.0,time_of_day,MEAN,2.424,2.143
13,,"1-4 [<10,10-14,14-18,18]",CORR,0.0915710155378938,0.0915710155378938
14,,,STD,1.207,1.093
15,,,CI95,1.990 - 2.859,1.711 - 2.574
16,5.0,Connect_chatpeople,MEAN,1.697,2.679
17,,# people,CORR,-0.1594185593723503,-0.1594185593723503
18,,,STD,1.749,2.977
19,,,CI95,1.067 - 2.327,1.503 - 3.854
20,6.0,past_day_exercise_moderate,MEAN,0.182,0.089
21,,Hrs,CORR,0.1331328654641884,0.1331328654641884
22,,,STD,0.386,0.269
23,,,CI95,0.043 - 0.321,-0.017 - 0.196
24,7.0,Gratitude,MEAN,6.111,7.000
25,,Score 1-7,CORR,-0.3283108597668985,-0.3283108597668985
26,,,STD,0.737,0.000
27,,,CI95,nan - nan,nan - nan
28,8.0,Reflect_totaltime,MEAN,24018.500,16323.571
29,,msec,CORR,0.2204170768054085,0.2204170768054085
30,,,STD,15113.306,8400.492
31,,,CI95,nan - nan,nan - nan
32,9.0,Diet_satisfaction,MEAN,4.091,4.714
33,,Score 1-5,CORR,-0.3154008189004065,-0.3154008189004065
34,,,STD,1.026,0.525
35,,,CI95,3.722 - 4.460,4.507 - 4.922
36,10.0,exercise_duration,MEAN,14.914,20.613
37,,Min,CORR,-0.1602922740321472,-0.1602922740321472
38,,,STD,20.646,23.637
39,,,CI95,7.480 - 22.348,11.279 - 29.947
