,rank,level_0,level_1,high Depression,low Depression
0,1.0,Mood_anxious,MEAN,8.312,5.357
1,,Score 1-14,CORR,0.7386423947513135,0.7386423947513135
2,,,STD,2.284,2.675
3,,,CI95,7.476 - 9.149,4.301 - 6.414
4,2.0,past_day_exercise_strenuous,MEAN,0.531,0.170
5,,Hrs,CORR,0.4299515226707027,0.4299515226707027
6,,,STD,0.511,0.433
7,,,CI95,0.344 - 0.718,-0.001 - 0.341
8,3.0,time_of_day,MEAN,2.625,2.607
9,,"1-4 [<10,10-14,14-18,18]",CORR,-0.1190595855196321,-0.1190595855196321
10,,,STD,1.111,1.345
11,,,CI95,2.218 - 3.032,2.076 - 3.138
12,4.0,past_day_fats,MEAN,2.844,2.214
13,,portions,CORR,-0.2276980088025457,-0.2276980088025457
14,,,STD,1.954,1.677
15,,,CI95,2.128 - 3.560,1.552 - 2.876
16,5.0,past_day_caffeine,MEAN,1.719,1.536
17,,cups,CORR,0.2120186837661056,0.2120186837661056
18,,,STD,1.007,1.017
19,,,CI95,1.350 - 2.088,1.134 - 1.937
20,6.0,Breath_consistency,MEAN,0.681,0.715
21,,1-(std/mean),CORR,0.103870533301469,0.103870533301469
22,,,STD,0.692,0.257
23,,,CI95,nan - nan,0.613 - 0.816
24,7.0,Connect_volunteertime,MEAN,0.156,0.071
25,,Hrs,CORR,0.0072468308170391,0.0072468308170391
26,,,STD,0.870,0.371
27,,,CI95,-0.162 - 0.475,-0.075 - 0.218
28,8.0,Sleep_bedtime,MEAN,22:13,22:10
29,,24 Hr scale,CORR,0.1123681212152105,0.1123681212152105
30,,,STD,00:25,00:24
31,,,CI95,22:04 - 22:22,22:00 - 22:19
32,9.0,Sleep_wakeuptime,MEAN,07:29,07:39
33,,24 Hr scale,CORR,-0.0960078718979256,-0.0960078718979256
34,,,STD,00:43,00:36
35,,,CI95,07:13 - 07:45,07:24 - 07:53
36,10.0,Sleep_duration,MEAN,8.266,8.482
37,,Hrs,CORR,-0.1836936749345694,-0.1836936749345694
38,,,STD,0.534,0.530
39,,,CI95,8.070 - 8.461,8.273 - 8.691
