,rank,level_0,level_1,high Depression,low Depression
0,1.0,past_day_fats,MEAN,1.125,1.800
1,,portions,CORR,0.1875777230066114,0.1875777230066114
2,,,STD,1.218,1.558
3,,,CI95,0.454 - 1.796,1.327 - 2.273
4,2.0,time_of_day,MEAN,2.375,2.600
5,,"1-4 [<10,10-14,14-18,18]",CORR,-0.0766151355944558,-0.0766151355944558
6,,,STD,1.166,1.181
7,,,CI95,1.733 - 3.017,2.241 - 2.959
8,3.0,Diet_satisfaction,MEAN,1.625,1.778
9,,Score 1-5,CORR,-0.271088586252773,-0.271088586252773
10,,,STD,0.696,0.696
11,,,CI95,1.242 - 2.008,1.566 - 1.989
12,4.0,Sleep_wakeuptime,MEAN,07:06,06:24
13,,24 Hr scale,CORR,0.0038857921019538,0.0038857921019538
14,,,STD,02:48,02:35
15,,,CI95,05:33 - 08:38,05:37 - 07:11
16,5.0,Reflect_totaltime,MEAN,21862.000,7479.500
17,,msec,CORR,0.2029059396398425,0.2029059396398425
18,,,STD,0.000,6010.500
19,,,CI95,nan - nan,nan - nan
20,6.0,past_day_exercise_moderate,MEAN,0.000,0.033
21,,Hrs,CORR,-0.3854414640268413,-0.3854414640268413
22,,,STD,0.000,0.125
23,,,CI95,nan - nan,-0.005 - 0.071
24,7.0,Connect_satisfaction,MEAN,1.250,1.533
25,,Score 1-5,CORR,-0.2278368532639454,-0.2278368532639454
26,,,STD,0.433,0.777
27,,,CI95,1.012 - 1.488,1.297 - 1.770
28,8.0,Sleep_bedtime,MEAN,01:34,01:35
29,,24 Hr scale,CORR,0.1387502772723508,0.1387502772723508
30,,,STD,02:44,02:29
31,,,CI95,00:03 - 03:04,00:49 - 02:20
32,9.0,Reflect_activetime,MEAN,4054.000,1602.500
33,,msec,CORR,0.2202037396362026,0.2202037396362026
34,,,STD,0.000,1602.500
35,,,CI95,nan - nan,nan - nan
36,10.0,past_day_exercise_mild,MEAN,0.359,0.406
37,,Hrs,CORR,0.072211801078813,0.072211801078813
38,,,STD,0.279,0.295
39,,,CI95,0.206 - 0.513,0.316 - 0.495
