,rank,level_0,level_1,high Depression,low Depression
0,1.0,Mood_anxious,MEAN,6.469,5.750
1,,Score 1-14,RANGE,"[4, 11]","[4, 8]"
2,,,CORR,0.2835457116217154,0.2835457116217154
3,,,STD,1.479,1.022
4,,,CI95,5.927 - 7.010,5.346 - 6.154
5,2.0,past_day_fats,MEAN,1.469,1.714
6,,portions,RANGE,"[0.0, 5.0]","[0.0, 5.0]"
7,,,CORR,0.2188480779441655,0.2188480779441655
8,,,STD,1.323,1.191
9,,,CI95,0.984 - 1.953,1.244 - 2.185
10,3.0,past_day_caffeine,MEAN,1.281,1.679
11,,cups,RANGE,"[0.0, 3.0]","[0.0, 4.0]"
12,,,CORR,-0.2486700012120627,-0.2486700012120627
13,,,STD,0.572,0.889
14,,,CI95,1.072 - 1.491,1.328 - 2.029
15,4.0,Connect_satisfaction,MEAN,2.781,3.179
16,,Score 1-5,RANGE,"[2.0, 3.0]","[3.0, 4.0]"
17,,,CORR,-0.6008835869313867,-0.6008835869313867
18,,,STD,0.413,0.383
19,,,CI95,2.630 - 2.933,3.027 - 3.330
20,5.0,past_day_sugars,MEAN,3.625,3.857
21,,portions,RANGE,"[0.0, 8.0]","[1.0, 8.0]"
22,,,CORR,0.1101440299429953,0.1101440299429953
23,,,STD,2.260,1.726
24,,,CI95,2.797 - 4.453,3.176 - 4.539
25,6.0,past_day_exercise_moderate,MEAN,0.062,0.429
26,,Hrs,RANGE,"[0.0, 1.0]","[0.0, 2.0]"
27,,,CORR,-0.2893800134185433,-0.2893800134185433
28,,,STD,0.207,0.716
29,,,CI95,-0.013 - 0.138,0.146 - 0.711
30,7.0,past_day_exercise_mild,MEAN,0.047,0.054
31,,Hrs,RANGE,"[0.0, 0.5]","[0.0, 0.5]"
32,,,CORR,-0.0458277937856573,-0.0458277937856573
33,,,STD,0.146,0.155
34,,,CI95,-0.007 - 0.100,-0.007 - 0.115
35,8.0,Exercise_satisfaction,MEAN,2.875,3.000
36,,Score 1-5,RANGE,"[2.0, 3.0]","[3.0, 3.0]"
37,,,CORR,-0.4164317647628831,-0.4164317647628831
38,,,STD,0.331,0.000
39,,,CI95,2.754 - 2.996,nan - nan
40,9.0,Connect_chatpeople,MEAN,0.281,0.357
41,,# people,RANGE,"[0.0, 3.0]","[0.0, 2.0]"
42,,,CORR,-0.1024162134193492,-0.1024162134193492
43,,,STD,0.624,0.549
44,,,CI95,0.053 - 0.510,0.140 - 0.574
45,10.0,Diet_satisfaction,MEAN,2.906,3.000
46,,Score 1-5,RANGE,"[2.0, 3.0]","[3.0, 3.0]"
47,,,CORR,-0.3691447726655212,-0.3691447726655212
48,,,STD,0.291,0.000
49,,,CI95,2.799 - 3.013,nan - nan
