,rank,level_0,level_1,high Depression,low Depression
0,1.0,Mood_anxious,MEAN,8.739,6.811
1,,Score 1-14,RANGE,"[4, 13]","[3, 11]"
2,,,CORR,0.3592024462330992,0.3592024462330992
3,,,STD,2.326,2.311
4,,,CI95,7.711 - 9.768,6.030 - 7.592
5,2.0,past_day_caffeine,MEAN,0.217,0.324
6,,cups,RANGE,"[0.0, 1.0]","[0.0, 1.0]"
7,,,CORR,-0.2248862018802883,-0.2248862018802883
8,,,STD,0.412,0.468
9,,,CI95,0.035 - 0.400,0.166 - 0.483
10,3.0,Sleep_bedtime,MEAN,20:50,21:03
11,,24 Hr scale,RANGE,['19:00-00:00'],['19:00-00:00']
12,,,CORR,0.1525154480685017,0.1525154480685017
13,,,STD,01:09,01:23
14,,,CI95,20:20 - 21:21,20:35 - 21:31
15,4.0,Connect_chatpeople,MEAN,0.652,0.919
16,,# people,RANGE,"[0.0, 2.0]","[0.0, 3.0]"
17,,,CORR,-0.2579640738676909,-0.2579640738676909
18,,,STD,0.865,0.912
19,,,CI95,0.270 - 1.035,0.611 - 1.227
20,5.0,past_day_exercise_strenuous,MEAN,0.098,0.162
21,,Hrs,RANGE,"[0.0, 0.75]","[0.0, 1.5]"
22,,,CORR,-0.0612268066385025,-0.0612268066385025
23,,,STD,0.218,0.340
24,,,CI95,0.001 - 0.194,0.047 - 0.277
25,6.0,past_day_exercise_moderate,MEAN,0.065,0.122
26,,Hrs,RANGE,"[0.0, 0.5]","[0.0, 1.0]"
27,,,CORR,-0.0190249758392816,-0.0190249758392816
28,,,STD,0.168,0.294
29,,,CI95,-0.009 - 0.140,0.022 - 0.221
30,7.0,Diet_satisfaction,MEAN,1.435,1.432
31,,Score 1-5,RANGE,"[1.0, 2.0]","[1.0, 3.0]"
32,,,CORR,0.0278797556013028,0.0278797556013028
33,,,STD,0.496,0.547
34,,,CI95,1.216 - 1.654,1.247 - 1.617
35,8.0,past_day_sugars,MEAN,1.478,1.378
36,,portions,RANGE,"[0.0, 4.0]","[0.0, 5.0]"
37,,,CORR,-0.0571737391608999,-0.0571737391608999
38,,,STD,1.441,1.402
39,,,CI95,0.841 - 2.115,0.905 - 1.852
40,9.0,Sleep_wakeuptime,MEAN,05:07,05:19
41,,24 Hr scale,RANGE,['03:00-06:45'],['02:30-07:00']
42,,,CORR,-0.0604814750592953,-0.0604814750592953
43,,,STD,01:09,01:10
44,,,CI95,04:36 - 05:37,04:56 - 05:43
45,10.0,Connect_chattime,MEAN,0.424,0.459
46,,Hrs,RANGE,"[0.0, 3.0]","[0.0, 2.0]"
47,,,CORR,-0.2375065138070072,-0.2375065138070072
48,,,STD,0.764,0.588
49,,,CI95,0.086 - 0.762,0.261 - 0.658
