,rank,level_0,level_1,high Depression,low Depression
0,1.0,Mood_anxious,MEAN,8.774,4.531
1,,Score 1-14,CORR,0.7232686109860107,0.7232686109860107
2,,,STD,3.452,2.598
3,,,CI95,7.487 - 10.061,3.580 - 5.483
4,2.0,time_of_day,MEAN,1.968,2.281
5,,"1-4 [<10,10-14,14-18,18]",CORR,-0.3030578014522258,-0.3030578014522258
6,,,STD,0.897,1.007
7,,,CI95,1.633 - 2.302,1.912 - 2.650
8,3.0,Sleep_duration,MEAN,9.500,9.500
9,,Hrs,CORR,-0.013975428409811,-0.013975428409811
10,,,STD,1.732,1.048
11,,,CI95,8.854 - 10.146,9.116 - 9.884
12,4.0,Connect_chatpeople,MEAN,0.387,1.000
13,,# people,CORR,-0.3747555597227456,-0.3747555597227456
14,,,STD,0.939,1.031
15,,,CI95,0.037 - 0.737,0.622 - 1.378
16,5.0,Connect_chattime,MEAN,0.242,1.039
17,,Hrs,CORR,-0.3902716441285491,-0.3902716441285491
18,,,STD,0.433,1.249
19,,,CI95,0.081 - 0.403,0.582 - 1.496
20,6.0,Diet_satisfaction,MEAN,3.484,2.594
21,,Score 1-5,CORR,0.4934520084456673,0.4934520084456673
22,,,STD,0.798,1.169
23,,,CI95,3.186 - 3.781,2.166 - 3.022
24,7.0,past_day_caffeine,MEAN,0.613,0.688
25,,cups,CORR,-0.0123952564435605,-0.0123952564435605
26,,,STD,0.656,0.768
27,,,CI95,0.368 - 0.858,0.406 - 0.969
28,8.0,Sleep_satisfaction,MEAN,3.903,4.125
29,,Score 1-5,CORR,-0.1163852582486491,-0.1163852582486491
30,,,STD,1.088,1.053
31,,,CI95,3.497 - 4.309,3.739 - 4.511
32,9.0,Gratitude,MEAN,3.900,5.125
33,,Score 1-7,CORR,-0.2622524641432545,-0.2622524641432545
34,,,STD,1.136,1.053
35,,,CI95,nan - nan,nan - nan
36,10.0,Breath_consistency,MEAN,0.810,0.853
37,,1-(std/mean),CORR,-0.2776796639524824,-0.2776796639524824
38,,,STD,0.201,0.157
39,,,CI95,0.735 - 0.885,nan - nan
