,rank,level_0,level_1,high Depression,low Depression
0,1.0,Mood_anxious,MEAN,4.485,2.154
1,,Score 1-14,RANGE,"[2, 11]","[2, 5]"
2,,,CORR,0.910146636557406,0.910146636557406
3,,,STD,2.047,0.601
4,2.0,past_day_exercise_mild,MEAN,0.227,0.096
5,,Hrs,RANGE,"[0.0, 1.0]","[0.0, 1.0]"
6,,,CORR,0.2236215999577633,0.2236215999577633
7,,,STD,0.405,0.269
8,3.0,Sleep_bedtime,MEAN,22:12,22:53
9,,24 Hr scale,RANGE,['20:30-10:00'],['21:00-10:00']
10,,,CORR,-0.4610965200998563,-0.4610965200998563
11,,,STD,02:24,04:02
12,4.0,past_day_exercise_moderate,MEAN,0.250,0.481
13,,Hrs,RANGE,"[0.0, 1.25]","[0.0, 1.25]"
14,,,CORR,-0.4760854986816685,-0.4760854986816685
15,,,STD,0.337,0.366
16,5.0,Breath_consistency,MEAN,0.663,0.829
17,,1-(std/mean),RANGE,"[-2.83, 0.96]","[0.12, 0.96]"
18,,,CORR,-0.3125673104026675,-0.3125673104026675
19,,,STD,0.653,0.180
20,6.0,past_day_fats,MEAN,3.121,3.346
21,,portions,RANGE,"[0.0, 7.0]","[0.0, 7.0]"
22,,,CORR,0.1143621073717393,0.1143621073717393
23,,,STD,1.701,2.200
24,7.0,cumm_step_count,MEAN,1438.000,3232.538
25,,count,RANGE,"[0.0, 9345.0]","[0.0, 10023.0]"
26,,,CORR,-0.5730166153376514,-0.5730166153376514
27,,,STD,2776.075,3075.799
28,8.0,Connect_chattime,MEAN,0.235,0.404
29,,Hrs,RANGE,"[0.0, 1.0]","[0.0, 1.0]"
30,,,CORR,-0.3064551706453111,-0.3064551706453111
31,,,STD,0.246,0.354
32,9.0,Reflect_activetime,MEAN,6429.111,8011.800
33,,msec,RANGE,"[389.0, 20897.0]","[629.0, 33365.0]"
34,,,CORR,33,26
35,,,STD,5960.081,12705.076
36,10.0,cumm_step_calorie,MEAN,51.663,115.836
37,,kCal,RANGE,"[0.0, 335.33]","[0.0, 359.85]"
38,,,CORR,-0.5743392343338143,-0.5743392343338143
39,,,STD,99.849,110.887
