,rank,level_0,level_1,high Depression,low Depression
0,2.0,Sleep_duration,MEAN,5.963,7.205
1,,Hrs,CORR,-0.4090799186387912,-0.4090799186387912
2,,,STD,1.694,1.329
3,,,CI95,5.280 - 6.646,6.726 - 7.683
4,4.0,Sleep_satisfaction,MEAN,3.926,4.515
5,,Score 1-5,CORR,-0.4090083464656925,-0.4090083464656925
6,,,STD,0.813,0.657
7,,,CI95,3.598 - 4.254,4.279 - 4.752
8,11.0,Sleep_naptime,MEAN,21.667,10.000
9,,Min,CORR,0.2112786517771918,0.2112786517771918
10,,,STD,35.198,27.552
11,,,CI95,7.478 - 35.856,0.079 - 19.921
12,12.0,Sleep_wakeuptime,MEAN,07:31,08:04
13,,24 Hr scale,CORR,-0.166383745252299,-0.166383745252299
14,,,STD,01:28,00:51
15,,,CI95,06:55 - 08:06,07:46 - 08:22
16,14.0,Sleep_bedtime,MEAN,01:31,00:37
17,,24 Hr scale,CORR,-0.0377629503282859,-0.0377629503282859
18,,,STD,00:52,01:36
19,,,CI95,01:10 - 01:51,00:03 - 01:12
20,20.0,Sleep_percent,MEAN,89.630,89.697
21,,% of time asleep in bed,CORR,0.0333593732317864,0.0333593732317864
22,,,STD,6.794,7.379
23,,,CI95,86.891 - 92.368,87.040 - 92.354
