,rank,level_0,level_1,high Depression,low Depression
0,2.0,Gratitude,MEAN,4.556,5.500
1,,Score 1-7,CORR,-0.319978783654442,-0.319978783654442
2,,,STD,1.571,0.500
3,,,CI95,nan - nan,nan - nan
4,3.0,Reflect_totaltime,MEAN,11878.444,10601.875
5,,msec,CORR,-0.1547539305862176,-0.1547539305862176
6,,,STD,8706.368,7376.065
7,,,CI95,nan - nan,nan - nan
8,10.0,Reflect_activetime,MEAN,2717.889,2576.375
9,,msec,CORR,0.0490423466094318,0.0490423466094318
10,,,STD,2217.024,1651.712
11,,,CI95,nan - nan,nan - nan
12,11.0,Connect_grouptime,MEAN,0.111,0.543
13,,Hrs,CORR,-0.2683790775973838,-0.2683790775973838
14,,,STD,0.314,0.805
15,,,CI95,-0.016 - 0.238,0.262 - 0.823
16,20.0,Connect_chatpeople,MEAN,0.333,0.057
17,,# people,CORR,0.2249854193578547,0.2249854193578547
18,,,STD,0.816,0.333
19,,,CI95,0.004 - 0.662,-0.059 - 0.173
20,21.0,Connect_satisfaction,MEAN,4.741,5.000
21,,Score 1-5,CORR,-0.302572399596045,-0.302572399596045
22,,,STD,0.583,0.000
23,,,CI95,4.506 - 4.976,nan - nan
24,24.0,Connect_chattime,MEAN,0.185,0.057
25,,Hrs,CORR,0.0664162475279837,0.0664162475279837
26,,,STD,0.669,0.333
27,,,CI95,-0.084 - 0.455,-0.059 - 0.173
28,,Connect_volunteertime,MEAN,0.000,0.000
29,,Hrs,CORR,0.2767199801050539,0.2767199801050539
30,,,STD,0.000,0.000
31,,,CI95,nan - nan,nan - nan
