,rank,level_0,level_1,high Depression,low Depression
0,5.0,Connect_chatpeople,MEAN,0.857,1.812
1,,# people,CORR,-0.2520701326650185,-0.2520701326650185
2,,,STD,1.125,1.965
3,,,CI95,0.183 - 1.531,1.236 - 2.389
4,7.0,Connect_chattime,MEAN,0.464,0.984
5,,Hrs,CORR,-0.1879077965116217,-0.1879077965116217
6,,,STD,1.008,1.147
7,,,CI95,-0.140 - 1.068,0.648 - 1.321
8,15.0,Connect_satisfaction,MEAN,4.929,5.000
9,,Score 1-5,CORR,-0.2464025547246386,-0.2464025547246386
10,,,STD,0.258,0.000
11,,,CI95,4.774 - 5.083,nan - nan
12,16.0,Connect_grouptime,MEAN,0.786,0.786
13,,Hrs,CORR,0.0252903840395261,0.0252903840395261
14,,,STD,1.145,1.306
15,,,CI95,0.100 - 1.472,0.403 - 1.170
16,18.0,Reflect_totaltime,MEAN,,14042.333
17,,msec,CORR,0.0501700412599827,0.0501700412599827
18,,,STD,,3241.144
19,,,CI95,nan - nan,nan - nan
20,19.0,Reflect_activetime,MEAN,,4779.667
21,,msec,CORR,-0.0501700412599827,-0.0501700412599827
22,,,STD,,2759.382
23,,,CI95,nan - nan,nan - nan
24,20.0,Gratitude,MEAN,6.500,6.067
25,,Score 1-7,CORR,0.0326077412681644,0.0326077412681644
26,,,STD,0.500,0.573
27,,,CI95,nan - nan,nan - nan
28,,Connect_volunteertime,MEAN,0.000,0.000
29,,Hrs,CORR,0.3980682596718122,0.3980682596718122
30,,,STD,0.000,0.000
31,,,CI95,nan - nan,nan - nan
