,rank,level_0,level_1,high Depression,low Depression
0,6.0,past_day_exercise_moderate,MEAN,0.000,0.033
1,,Hrs,CORR,-0.3854414640268413,-0.3854414640268413
2,,,STD,0.000,0.125
3,,,CI95,nan - nan,-0.005 - 0.071
4,10.0,past_day_exercise_mild,MEAN,0.359,0.406
5,,Hrs,CORR,0.072211801078813,0.072211801078813
6,,,STD,0.279,0.295
7,,,CI95,0.206 - 0.513,0.316 - 0.495
8,16.0,cumm_step_speed,MEAN,0.805,0.859
9,,meters/sec,CORR,-0.1541133415783206,-0.1541133415783206
10,,,STD,0.194,0.117
11,,,CI95,0.698 - 0.912,0.823 - 0.894
12,17.0,Exercise_satisfaction,MEAN,1.250,1.444
13,,Score 1-5,CORR,-0.2495465322393951,-0.2495465322393951
14,,,STD,0.433,0.579
15,,,CI95,1.012 - 1.488,1.268 - 1.621
16,21.0,cumm_step_calorie,MEAN,53.629,63.976
17,,kCal,CORR,-0.0460524773062407,-0.0460524773062407
18,,,STD,46.589,38.605
19,,,CI95,27.989 - 79.269,52.247 - 75.706
20,22.0,cumm_step_count,MEAN,1483.500,1805.800
21,,count,CORR,-0.0609270306539682,-0.0609270306539682
22,,,STD,1312.719,1115.072
23,,,CI95,761.061 - 2205.939,1467.010 - 2144.590
24,23.0,cumm_step_distance,MEAN,992.386,1203.175
25,,meters,CORR,-0.0630151652043989,-0.0630151652043989
26,,,STD,899.600,748.747
27,,,CI95,497.302 - 1487.471,975.685 - 1430.665
28,27.0,heart_rate,MEAN,71.498,71.498
29,,bpm,CORR,-0.1612028174772637,-0.1612028174772637
30,,,STD,0.000,3.495
31,,,CI95,nan - nan,70.436 - 72.560
32,,past_day_exercise_strenuous,MEAN,0.000,0.000
33,,Hrs,CORR,-0.1612028174772637,-0.1612028174772637
34,,,STD,0.000,0.000
35,,,CI95,nan - nan,nan - nan
