,rank,level_0,level_1,high Depression,low Depression
0,3.0,past_day_exercise_moderate,MEAN,0.048,0.180
1,,Hrs,RANGE,"[0.0, 0.5]","[0.0, 1.0]"
2,,,CORR,-0.3825204039010263,-0.3825204039010263
3,,,STD,0.148,0.281
4,4.0,past_day_exercise_mild,MEAN,0.403,0.750
5,,Hrs,RANGE,"[0.0, 1.5]","[0.0, 2.0]"
6,,,CORR,-0.2920527263555843,-0.2920527263555843
7,,,STD,0.410,0.500
8,8.0,exercise_calorie,MEAN,17.000,44.022
9,,kCal,RANGE,"[0.0, 115.0]","[0.0, 229.0]"
10,,,CORR,-0.165676933831244,-0.165676933831244
11,,,STD,33.959,60.810
12,12.0,Exercise_satisfaction,MEAN,3.419,3.531
13,,Score 1-5,RANGE,"[1.0, 5.0]","[1.0, 5.0]"
14,,,CORR,-0.2559971116258737,-0.2559971116258737
15,,,STD,1.009,0.968
16,16.0,exercise_duration,MEAN,5.745,11.724
17,,Min,RANGE,"[0.0, 39.6]","[0.0, 63.75]"
18,,,CORR,-0.1323616445026207,-0.1323616445026207
19,,,STD,11.319,16.491
20,18.0,past_day_exercise_strenuous,MEAN,0.008,0.055
21,,Hrs,RANGE,"[0.0, 0.25]","[0.0, 0.5]"
22,,,CORR,-0.2448247231011875,-0.2448247231011875
23,,,STD,0.044,0.121
24,19.0,cumm_step_speed,MEAN,1.387,1.324
25,,meters/sec,RANGE,"[1.35, 1.42]","[1.22, 1.43]"
26,,,CORR,-0.052048608995643,-0.052048608995643
27,,,STD,0.030,0.103
28,25.0,heart_rate,MEAN,75.240,75.330
29,,bpm,RANGE,"[61.0, 91.0]","[60.0, 98.0]"
30,,,CORR,0.0977659528841997,0.0977659528841997
31,,,STD,5.791,7.721
32,28.0,cumm_step_count,MEAN,357.903,78.844
33,,count,RANGE,"[0.0, 4905.0]","[0.0, 2349.0]"
34,,,CORR,0.0041497636981459,0.0041497636981459
35,,,STD,1154.611,408.853
36,29.0,cumm_step_calorie,MEAN,12.477,2.961
37,,kCal,RANGE,"[0.0, 168.85]","[0.0, 88.41]"
38,,,CORR,0.0041497636981459,0.0041497636981459
39,,,STD,40.034,15.387
40,30.0,cumm_step_distance,MEAN,274.500,60.460
41,,meters,RANGE,"[0.0, 3770.11]","[0.0, 1806.12]"
42,,,CORR,0.0041497636981459,0.0041497636981459
43,,,STD,886.577,314.326
