,rank,level_0,level_1,high Depression,low Depression
0,2.0,Exercise_satisfaction,MEAN,3.364,4.679
1,,Score 1-5,CORR,-0.4716595786958934,-0.4716595786958934
2,,,STD,1.389,0.601
3,,,CI95,2.864 - 3.864,4.441 - 4.916
4,6.0,past_day_exercise_moderate,MEAN,0.182,0.089
5,,Hrs,CORR,0.1331328654641884,0.1331328654641884
6,,,STD,0.386,0.269
7,,,CI95,0.043 - 0.321,-0.017 - 0.196
8,10.0,exercise_duration,MEAN,14.914,20.613
9,,Min,CORR,-0.1602922740321472,-0.1602922740321472
10,,,STD,20.646,23.637
11,,,CI95,7.480 - 22.348,11.279 - 29.947
12,14.0,cumm_step_calorie,MEAN,64.175,72.208
13,,kCal,CORR,-0.0674148745101091,-0.0674148745101091
14,,,STD,49.737,56.543
15,,,CI95,46.266 - 82.084,49.880 - 94.535
16,18.0,past_day_exercise_mild,MEAN,0.508,0.643
17,,Hrs,CORR,-0.0267552747280344,-0.0267552747280344
18,,,STD,0.623,0.910
19,,,CI95,0.283 - 0.732,0.284 - 1.002
20,19.0,cumm_step_distance,MEAN,1337.530,1495.614
21,,meters,CORR,-0.0652991024382097,-0.0652991024382097
22,,,STD,1043.204,1170.076
23,,,CI95,961.891 - 1713.169,1033.580 - 1957.647
24,20.0,cumm_step_speed,MEAN,1.224,1.226
25,,meters/sec,CORR,-0.1576684941251048,-0.1576684941251048
26,,,STD,0.049,0.088
27,,,CI95,nan - nan,1.191 - 1.261
28,23.0,cumm_step_count,MEAN,1791.758,2029.107
29,,count,CORR,-0.0632123135453775,-0.0632123135453775
30,,,STD,1391.405,1566.249
31,,,CI95,1290.737 - 2292.778,1410.635 - 2647.579
32,27.0,exercise_calorie,MEAN,75.081,102.387
33,,kCal,CORR,-0.1210713854713591,-0.1210713854713591
34,,,STD,107.674,124.569
35,,,CI95,36.310 - 113.853,53.198 - 151.576
36,29.0,heart_rate,MEAN,60.620,62.852
37,,bpm,CORR,-0.0526262058037785,-0.0526262058037785
38,,,STD,6.339,11.117
39,,,CI95,58.337 - 62.902,58.463 - 67.242
40,32.0,past_day_exercise_strenuous,MEAN,0.015,0.000
41,,Hrs,CORR,0.1372270126966298,0.1372270126966298
42,,,STD,0.086,0.000
43,,,CI95,-0.016 - 0.046,nan - nan
